대분류,부처,부서,게시판,URL,Crawler 구분,wrap_tag,title_tag,time_tag,time_re,trim_str,url_flag,session
,커뮤니케이션학부,커뮤니케이션학,뉴스레터,http://sgcomm.sogang.ac.kr/front/cmsboardlist.do?siteId=sgcomm&bbsConfigFK=523,1,,,,,,,
,커뮤니케이션학부,커뮤니케이션학,취업정보,http://sgcomm.sogang.ac.kr/front/cmsboardlist.do?siteId=sgcomm&bbsConfigFK=518,1,,,,,,,
,자연과학부,자연과학부,공지사항,http://science.sogang.ac.kr/front/cmsboardlist.do?siteId=science&bbsConfigFK=681,1,,,,,,,
,자연과학부,자연과학부,새소식,http://science.sogang.ac.kr/front/cmsboardlist.do?siteId=science&bbsConfigFK=682,1,,,,,,,
,자연과학부,수학,공지사항,http://math.sogang.ac.kr/front/cmsboardlist.do?siteId=math&bbsConfigFK=1947,1,,,,,,,
,자연과학부,수학,세미나게시판,http://math.sogang.ac.kr/front/cmsboardlist.do?siteId=math&bbsConfigFK=1948,1,,,,,,,
,자연과학부,수학,자료실,http://math.sogang.ac.kr/front/cmsboardlist.do?siteId=math&bbsConfigFK=1965,1,,,,,,,
,자연과학부,수학,자유게시판,http://math.sogang.ac.kr/front/cmsboardlist.do?siteId=math&bbsConfigFK=1950,1,,,,,,,
,자연과학부,수학,수학과소식,http://math.sogang.ac.kr/front/cmsboardlist.do?siteId=math&bbsConfigFK=1952,1,,,,,,,
,자연과학부,물리학,게시판,http://physics.sogang.ac.kr/front/cmsboardlist.do?siteId=physics&bbsConfigFK=1205,1,,,,,,,
,자연과학부,물리학,세미나실,http://physics.sogang.ac.kr/front/cmsboardlist.do?siteId=physics&bbsConfigFK=2086,1,,,,,,,
,자연과학부,화학,News,http://chemistry.sogang.ac.kr/news/news.asp,,,,,,,,
,자연과학부,화학,Publication,http://chemistry.sogang.ac.kr/news/publication.asp,,,,,,,,
,자연과학부,화학,Seminar,http://chemistry.sogang.ac.kr/news/seminar.asp,,,,,,,,
,자연과학부,생명과학,공지사항,http://lifescien.sogang.ac.kr/front/cmsboardlist.do?siteId=lifescien&bbsConfigFK=1265,1,,,,,,,
,자연과학부,생명과학,세미나,http://lifescien.sogang.ac.kr/front/cmsboardlist.do?siteId=lifescien&bbsConfigFK=1264,1,,,,,,,
,공학부,공학부,공지사항,http://eng.sogang.ac.kr/front/cmsboardlist.do?siteId=eng&bbsConfigFK=1624,1,,,,,,,
,공학부,공학부,연구성과,http://eng.sogang.ac.kr/front/cmsboardlist.do?siteId=eng&bbsConfigFK=1627,1,,,,,,,
,공학부,공학부,학교생활가이드,http://eng.sogang.ac.kr/front/cmsboardlist.do?siteId=eng&bbsConfigFK=1628,1,,,,,,,
,공학부,전자공학,일반공지,http://ee.sogang.ac.kr/front/cmsboardlist.do?siteId=ee&bbsConfigFK=3306,1,,,,,,,
,공학부,전자공학,학사공지,http://ee.sogang.ac.kr/front/cmsboardlist.do?siteId=ee&bbsConfigFK=3446,1,,,,,,,
,공학부,전자공학,학과행사,http://ee.sogang.ac.kr/front/cmsboardlist.do?siteId=ee&bbsConfigFK=3090,1,,,,,,,
,공학부,전자공학,취업정보,http://ee.sogang.ac.kr/front/cmsboardlist.do?siteId=ee&bbsConfigFK=3089,1,,,,,,,
,공학부,전자공학,채용공고,http://ee.sogang.ac.kr/front/cmsboardlist.do?siteId=ee&bbsConfigFK=3091,1,,,,,,,
,공학부,화공생명공학,연구 및 학술활동,http://chemeng.sogang.ac.kr/kor/sub/05_01.php,,,,,,,,
,공학부,화공생명공학,세미나,http://chemeng.sogang.ac.kr/kor/sub/05_02.php,,,,,,,,
,공학부,화공생명공학,학사,http://chemeng.sogang.ac.kr/kor/sub/05_04.php,,,,,,,,
,공학부,화공생명공학,취업/장학,http://chemeng.sogang.ac.kr/kor/sub/05_05.php,,,,,,,,
,공학부,화공생명공학,공문서,http://chemeng.sogang.ac.kr/kor/sub/05_06.php,,,,,,,,
,공학부,컴퓨터공학,주요공지,http://cs.sogang.ac.kr/front/cmsboardlist.do?siteId=cs&bbsConfigFK=1905,1,,,,,,,
,공학부,컴퓨터공학,학부공지,http://cs.sogang.ac.kr/front/cmsboardlist.do?siteId=cs&bbsConfigFK=1745,1,,,,,,,
,공학부,컴퓨터공학,대학원공지,http://cs.sogang.ac.kr/front/cmsboardlist.do?siteId=cs&bbsConfigFK=1747,1,,,,,,,
,공학부,컴퓨터공학,일반공지,http://cs.sogang.ac.kr/front/cmsboardlist.do?siteId=cs&bbsConfigFK=1746,1,,,,,,,
,공학부,컴퓨터공학,취업/인턴쉽,http://cs.sogang.ac.kr/front/cmsboardlist.do?siteId=cs&bbsConfigFK=1748,1,,,,,,,
,공학부,컴퓨터공학,학과소식,http://cs.sogang.ac.kr/front/cmsboardlist.do?siteId=cs&bbsConfigFK=1749,1,,,,,,,
,공학부,기계공학,공지사항,http://me.sogang.ac.kr/v2/bbs/board.php?bo_table=sub6_1,,,,,,,,
,공학부,기계공학,장학/취업정보,http://me.sogang.ac.kr/v2/bbs/board.php?bo_table=sub6_2,,,,,,,,
,공학부,기계공학,자료실,http://me.sogang.ac.kr/v2/bbs/board.php?bo_table=sub6_5,,,,,,,,
,공학부,기계공학,외부행사,http://me.sogang.ac.kr/v2/bbs/board.php?bo_table=sub6_6,,,,,,,,
,경제학부,경제학,학부 및 일반대학원 공지,http://econ.sogang.ac.kr/front/cmsboardlist.do?siteId=econ&bbsConfigFK=2607,1,,,,,,,
,경제학부,경제학,뉴스레터,http://econ.sogang.ac.kr/front/cmsboardlist.do?siteId=econ&bbsConfigFK=2609,1,,,,,,,
,경제학부,경제학,동문소식,http://econ.sogang.ac.kr/front/cmsboardlist.do?siteId=econ&bbsConfigFK=2610,1,,,,,,,
,경제학부,경제학,서강경제뉴스,http://econ.sogang.ac.kr/front/cmsboardlist.do?siteId=econ&bbsConfigFK=2611,1,,,,,,,
,경제학부,경제학,경제대학원 공지,http://econ.sogang.ac.kr/front/cmsboardlist.do?siteId=econ&bbsConfigFK=2606,1,,,,,,,
,경영학부,경영학,학부 공지사항,http://sbs.sogang.ac.kr/front/cmsboardlist.do?siteId=sbs&bbsConfigFK=2371,1,,,,,,,
,경영학부,경영학,일반대학원 공지사항,http://sbs.sogang.ac.kr/front/cmsboardlist.do?siteId=sbs&bbsConfigFK=2012,1,,,,,,,
,경영학부,경영학,MBA 공지사항,http://sbs.sogang.ac.kr/front/cmsboardlist.do?siteId=sbs&bbsConfigFK=2206,1,,,,,,,
,경영학부,경영학,특성화사업 뉴스/보도,http://sbs.sogang.ac.kr/front/cmsboardlist.do?siteId=sbs&bbsConfigFK=2426,1,,,,,,,
,경영학부,경영학,특성화사업 공지사항,http://sbs.sogang.ac.kr/front/cmsboardlist.do?siteId=sbs&bbsConfigFK=2427,1,,,,,,,
